block_id,m5_day_range,calendar_date_range,num_days,event_day_count,total_named_event_occurrences,unique_event_count,unique_events_list,mean_daily_demand,zero_sales_ratio,active_sku_ratio,price_change_frequency,avg_price_cv
1,d_1-d_28,2011-01-29 to 2011-02-25,28,3,3,3,"PresidentsDay, SuperBowl, ValentinesDay",0.8606,0.7916,0.4194,0.0756,0.0038
2,d_29-d_56,2011-02-26 to 2011-03-25,28,4,4,4,"LentStart, LentWeek2, Purim End, StPatricksDay",0.8226,0.7882,0.4288,0.0879,0.0032
3,d_57-d_84,2011-03-26 to 2011-04-22,28,0,0,0,None,0.8203,0.7845,0.4396,0.0788,0.0038
4,d_85-d_112,2011-04-23 to 2011-05-20,28,4,5,5,"Cinco De Mayo, Easter, Mother's day, OrthodoxEaster, Pesach End",0.7632,0.7888,0.4377,0.0746,0.0029
5,d_113-d_140,2011-05-21 to 2011-06-17,28,3,3,3,"MemorialDay, NBAFinalsEnd, NBAFinalsStart",0.8108,0.7819,0.4374,0.0768,0.003
6,d_141-d_168,2011-06-18 to 2011-07-15,28,2,2,2,"Father's day, IndependenceDay",0.8447,0.7816,0.4385,0.0532,0.0023
7,d_169-d_196,2011-07-16 to 2011-08-12,28,1,1,1,Ramadan starts,0.8556,0.7801,0.4475,0.0742,0.003
8,d_197-d_224,2011-08-13 to 2011-09-09,28,2,2,2,"Eid al-Fitr, LaborDay",0.8799,0.7769,0.463,0.0696,0.0026
9,d_225-d_252,2011-09-10 to 2011-10-07,28,0,0,0,None,0.9128,0.7673,0.4793,0.0859,0.0046
10,d_253-d_280,2011-10-08 to 2011-11-04,28,2,2,2,"ColumbusDay, Halloween",0.926,0.7627,0.486,0.0905,0.005
11,d_281-d_308,2011-11-05 to 2011-12-02,28,3,3,3,"EidAlAdha, Thanksgiving, VeteransDay",0.904,0.7672,0.4776,0.0457,0.0021
12,d_309-d_336,2011-12-03 to 2011-12-30,28,2,2,2,"Chanukah End, Christmas",0.9342,0.7676,0.484,0.0591,0.004
13,d_337-d_364,2011-12-31 to 2012-01-27,28,3,3,3,"MartinLutherKingDay, NewYear, OrthodoxChristmas",0.9475,0.7578,0.5001,0.0676,0.0029
14,d_365-d_392,2012-01-28 to 2012-02-24,28,4,4,4,"LentStart, PresidentsDay, SuperBowl, ValentinesDay",1.0164,0.7439,0.5275,0.0702,0.0032
15,d_393-d_420,2012-02-25 to 2012-03-23,28,3,3,3,"LentWeek2, Purim End, StPatricksDay",1.0434,0.7409,0.538,0.074,0.0033
16,d_421-d_448,2012-03-24 to 2012-04-20,28,3,3,3,"Easter, OrthodoxEaster, Pesach End",1.0395,0.7389,0.5413,0.0512,0.0037
17,d_449-d_476,2012-04-21 to 2012-05-18,28,2,2,2,"Cinco De Mayo, Mother's day",1.042,0.7366,0.5563,0.05,0.0033
18,d_477-d_504,2012-05-19 to 2012-06-15,28,2,2,2,"MemorialDay, NBAFinalsStart",1.1484,0.7238,0.5665,0.0288,0.003
19,d_505-d_532,2012-06-16 to 2012-07-13,28,3,3,3,"Father's day, IndependenceDay, NBAFinalsEnd",1.1758,0.72,0.5845,0.0513,0.0041
20,d_533-d_560,2012-07-14 to 2012-08-10,28,1,1,1,Ramadan starts,1.1346,0.7204,0.5908,0.0482,0.0043
21,d_561-d_588,2012-08-11 to 2012-09-07,28,2,2,2,"Eid al-Fitr, LaborDay",1.1709,0.7124,0.5958,0.0404,0.003
22,d_589-d_616,2012-09-08 to 2012-10-05,28,0,0,0,None,1.1349,0.7109,0.5965,0.0279,0.0029
23,d_617-d_644,2012-10-06 to 2012-11-02,28,3,3,3,"ColumbusDay, EidAlAdha, Halloween",1.0604,0.7206,0.6055,0.0262,0.0028
24,d_645-d_672,2012-11-03 to 2012-11-30,28,2,2,2,"Thanksgiving, VeteransDay",1.0473,0.7165,0.6057,0.0599,0.0029
25,d_673-d_700,2012-12-01 to 2012-12-28,28,2,2,2,"Chanukah End, Christmas",1.0806,0.7184,0.6079,0.0422,0.0023
26,d_701-d_728,2012-12-29 to 2013-01-25,28,3,3,3,"MartinLutherKingDay, NewYear, OrthodoxChristmas",1.0937,0.7104,0.6274,0.0558,0.003
27,d_729-d_756,2013-01-26 to 2013-02-22,28,5,5,5,"LentStart, LentWeek2, PresidentsDay, SuperBowl, ValentinesDay",1.158,0.693,0.6493,0.0603,0.0036
28,d_757-d_784,2013-02-23 to 2013-03-22,28,2,2,2,"Purim End, StPatricksDay",1.1783,0.6891,0.6525,0.0393,0.0021
29,d_785-d_812,2013-03-23 to 2013-04-19,28,2,2,2,"Easter, Pesach End",1.1673,0.6908,0.6621,0.0306,0.0026
30,d_813-d_840,2013-04-20 to 2013-05-17,28,2,3,3,"Cinco De Mayo, Mother's day, OrthodoxEaster",1.1178,0.6903,0.6915,0.0472,0.0026
31,d_841-d_868,2013-05-18 to 2013-06-14,28,2,2,2,"MemorialDay, NBAFinalsStart",1.1941,0.6772,0.6895,0.0239,0.0021
32,d_869-d_896,2013-06-15 to 2013-07-12,28,4,4,4,"Father's day, IndependenceDay, NBAFinalsEnd, Ramadan starts",1.2432,0.6738,0.7035,0.0382,0.0029
33,d_897-d_924,2013-07-13 to 2013-08-09,28,1,1,1,Eid al-Fitr,1.2247,0.6725,0.7083,0.0373,0.0034
34,d_925-d_952,2013-08-10 to 2013-09-06,28,1,1,1,LaborDay,1.2707,0.6716,0.7136,0.0335,0.0029
35,d_953-d_980,2013-09-07 to 2013-10-04,28,0,0,0,None,1.2588,0.6645,0.733,0.0363,0.0025
36,d_981-d_1008,2013-10-05 to 2013-11-01,28,3,3,3,"ColumbusDay, EidAlAdha, Halloween",1.1937,0.6667,0.7303,0.0272,0.0019
37,d_1009-d_1036,2013-11-02 to 2013-11-29,28,2,2,2,"Thanksgiving, VeteransDay",1.1403,0.6787,0.7221,0.0313,0.0025
38,d_1037-d_1064,2013-11-30 to 2013-12-27,28,2,2,2,"Chanukah End, Christmas",1.1109,0.6905,0.7114,0.0157,0.0014
39,d_1065-d_1092,2013-12-28 to 2014-01-24,28,3,3,3,"MartinLutherKingDay, NewYear, OrthodoxChristmas",1.1379,0.6816,0.7266,0.0442,0.003
40,d_1093-d_1120,2014-01-25 to 2014-02-21,28,3,3,3,"PresidentsDay, SuperBowl, ValentinesDay",1.1668,0.6659,0.7617,0.0451,0.0028
41,d_1121-d_1148,2014-02-22 to 2014-03-21,28,4,4,4,"LentStart, LentWeek2, Purim End, StPatricksDay",1.1825,0.6556,0.7699,0.0298,0.0022
42,d_1149-d_1176,2014-03-22 to 2014-04-18,28,0,0,0,None,1.213,0.6507,0.7831,0.0392,0.003
43,d_1177-d_1204,2014-04-19 to 2014-05-16,28,4,5,5,"Cinco De Mayo, Easter, Mother's day, OrthodoxEaster, Pesach End",1.1804,0.6551,0.7861,0.0365,0.003
44,d_1205-d_1232,2014-05-17 to 2014-06-13,28,2,2,2,"MemorialDay, NBAFinalsStart",1.1725,0.6522,0.7888,0.0408,0.0024
45,d_1233-d_1260,2014-06-14 to 2014-07-11,28,3,4,4,"Father's day, IndependenceDay, NBAFinalsEnd, Ramadan starts",1.228,0.6462,0.8033,0.0555,0.0029
46,d_1261-d_1288,2014-07-12 to 2014-08-08,28,1,1,1,Eid al-Fitr,1.2128,0.6476,0.8194,0.0582,0.0022
47,d_1289-d_1316,2014-08-09 to 2014-09-05,28,1,1,1,LaborDay,1.2283,0.6398,0.826,0.0533,0.0031
48,d_1317-d_1344,2014-09-06 to 2014-10-03,28,0,0,0,None,1.1909,0.6346,0.8442,0.0392,0.0029
49,d_1345-d_1372,2014-10-04 to 2014-10-31,28,3,3,3,"ColumbusDay, EidAlAdha, Halloween",1.1624,0.6325,0.849,0.0343,0.0025
50,d_1373-d_1400,2014-11-01 to 2014-11-28,28,2,2,2,"Thanksgiving, VeteransDay",1.1489,0.6394,0.8389,0.0307,0.0021
51,d_1401-d_1428,2014-11-29 to 2014-12-26,28,2,2,2,"Chanukah End, Christmas",1.0851,0.6566,0.8317,0.0295,0.0019
